Z;F;S
20;-27;-1008
22;-37;-1036
17;-37;-767
6;-40;-336
-1;-36;84
4;-26;333
13;-22;342
32;-15;175
52;-9;-195
69;-5;-570
77;-8;-586
83;-5;-390
80;-9;23
70;-3;344
63;9;531
65;19;647
60;21;679
42;22;626
29;28;537
10;38;445
-3;41;382
0;53;354
10;57;346
10;63;355
0;59;353
-2;54;336
2;44;282
2;39;218
-3;27;166
-15;28;161
-23;27;194
-28;33;245
-12;44;300
-2;45;338
-2;46;347
-1;42;331
17;46;312
22;46;298
38;48;285
44;38;267
42;22;249
28;9;228
3;-5;198
-12;-9;150
-33;-7;87
-44;-12;-24
-47;-24;-288
-45;-30;-860
-45;-44;-1305
-46;-47;-1493
-40;-39;-1076
-33;-37;-400
-6;-30;190
21;-22;559
32;-13;682
16;-10;583
-6;-8;319
-23;-10;-55
-37;-7;-458
-37;0;-688
-40;5;-703
-45;-3;-497
-57;-9;-200
-64;-13;105
-52;-15;370
-38;-11;591
-20;-10;638
-1;-16;571
10;-18;409
5;-23;204
-4;-15;24
-7;-10;-100
-17;-5;-76
-32;-14;19
-49;-9;157
-74;0;262
-96;12;340
-97;20;488
-79;31;604
-53;32;679
-27;32;622
-7;36;502
10;33;404
30;29;336
49;37;314
47;31;308
32;25;321
20;18;325
27;25;337
29;34;335
15;32;330
-9;37;327
-31;31;334
-45;29;357
-47;34;387
-44;35;414
-59;35;431
-66;38;425
-65;44;399
-43;49;339
-7;51;258
16;52;188
34;57;148
37;60;134
44;68;131
58;73;119
65;75;106
67;67;89
62;60;71
51;54;66
26;47;74
3;46;102
-14;47;119
-19;43;101
-19;36;63
-21;31;-67
-14;26;-317
1;24;-902
20;28;-1364
44;22;-1535
59;20;-1121
67;17;-416
67;21;177
72;29;491
65;35;590
59;42;548
53;51;424
38;54;260
18;61;51
6;55;-213
-4;52;-344
-6;36;-420
0;35;-382
9;27;-352
18;29;-224
23;30;-51
43;39;171
62;51;306
71;53;341
78;55;333
87;54;281
91;57;177
89;53;50
82;50;-100
69;49;-146
58;51;-214
53;54;-306
58;52;-418
58;50;-450
54;47;-265
62;59;17
58;67;272
59;76;363
53;78;338
52;84;249
46;88;161
34;93;92
22;91;68
4;87;102
-18;76;174
-31;67;247
-27;64;308
-26;57;326
-21;49;317
-30;47;305
-45;48;291
-60;49;263
-73;53;214
-70;59;162
-70;67;106
-51;73;64
-29;78;30
-11;72;7
-7;63;-1
-11;57;-7
-6;57;4
-6;58;20
12;52;50
22;50;101
17;48;166
-2;51;239
-13;58;291
-1;62;300
12;67;267
31;68;219
37;68;181
31;68;161
18;71;161
13;69;164
19;73;173
22;65;177
28;69;186
28;70;180
27;72;171
15;75;139
11;71;83
6;68;-82
7;57;-424
25;44;-1121
43;39;-1481
48;39;-1550
42;34;-980
39;36;-308
28;32;169
13;26;358
-8;33;421
-20;33;385
-13;33;311
7;25;216
40;22;81
55;24;-105
47;19;-229
24;16;-271
6;16;-198
4;23;-146
10;24;-61
32;33;96
43;29;292
46;23;448
44;22;444
45;19;370
34;25;275
15;26;201
-6;36;99
-28;44;35
-40;54;11
-33;49;9
-19;49;-7
-9;41;-45
-1;40;-117
11;43;-274
8;37;-449
-2;24;-580
-12;12;-637
-8;4;-627
-15;4;-638
-16;5;-735
-29;-10;-814
-40;-17;-777
-53;-3;-597
-58;25;-302
-55;66;-61
-49;86;151
-33;103;251
-6;108;342
9;107;350
9;90;301
7;71;246
4;58;144
-3;47;51
-1;48;-11
-7;58;-9
-19;71;35
-38;76;118
-31;81;211
-6;89;303
31;85;372
68;87;409
87;82;419
82;79;399
60;75;367
47;66;331
39;58;302
34;49;283
30;49;272
24;56;275
20;59;285
17;55;298
27;51;308
21;50;317
10;51;328
-6;54;334
-5;58;342
-2;67;345
5;66;345
25;69;343
32;61;345
41;60;344
37;64;348
36;68;363
26;67;383
22;62;411
37;54;429
62;49;420
84;50;392
89;44;333
77;41;277
48;39;237
21;31;226
15;35;242
14;28;288
10;16;355
1;5;422
-8;-1;480
-23;-10;452
-21;-10;250
-2;-14;-121
17;-25;-624
22;-34;-994
15;-45;-964
5;-39;-667
4;-33;-219
12;-22;87
17;-21;213
13;-13;276
0;-17;273
-13;-23;212
-18;-23;128
-29;-26;36
-18;-19;-51
5;-14;-121
32;-6;-195
46;-3;-246
50;-3;-259
42;2;-235
26;-8;-190
18;-9;-156
27;-13;-161
33;-9;-203
29;-9;-261
16;-7;-293
9;-7;-242
6;-11;-145
2;-10;-10
-5;-7;88
-21;-6;145
-34;-11;141
-23;-7;108
-16;-12;43
-8;-4;9
-1;1;-33
13;9;-39
14;16;-23
15;13;29
1;15;77
-21;10;123
-38;-1;154
-44;-8;186
-31;-8;160
-17;-5;-17
4;7;-534
35;11;-1007
59;13;-1316
68;12;-1172
63;9;-759
52;21;-255
45;26;137
46;22;358
45;24;391
38;16;281
18;19;119
3;18;-146
-4;16;-348
-8;8;-522
-10;2;-527
-2;-2;-406
-1;-5;-147
-3;-7;136
-5;-11;441
0;-8;592
1;-10;621
3;-14;592
1;-14;535
-9;-19;466
-16;-16;398
-14;-10;370
-1;-1;373
1;-1;380
7;-11;370
15;-11;366
26;-23;334
33;-29;291
32;-27;222
16;-26;142
-6;-21;27
-22;-10;-128
-17;-2;-350
-4;4;-623
9;7;-944
31;7;-1155
45;11;-1306
47;9;-1325
41;10;-1297
30;13;-1199
14;16;-1000
-7;14;-728
-15;7;-401
-24;3;-94
-21;4;136
-10;1;271
0;7;268
8;3;162
-1;-5;36
-6;-12;-27
-23;-13;-10
-42;-15;71
-57;-11;190
-58;-5;297
-48;-6;389
-35;0;457
-21;5;488
-18;2;467
-17;-1;385
-11;-11;148
4;-7;-284
0;-7;-654
-18;-5;-967
-27;-7;-971
-39;-13;-753
-40;-15;-380
-40;-18;34
-28;-15;288
-32;-17;356
-29;-20;200
-22;-22;-86
-22;-20;-426
-26;-20;-508
-27;-21;-438
-12;-22;-165
-7;-16;113
-8;-16;293
-22;-11;455
-44;-21;557
-72;-17;581
-87;-25;580
-87;-15;557
-82;-17;524
-77;-10;479
-71;-8;446
-63;-8;422
-47;-13;413
-23;-11;407
-5;-7;399
-8;-9;386
-25;2;372
-47;4;359
-70;9;350
-98;2;342
-116;-4;327
-135;-8;313
-163;-3;300
-184;8;290
-190;13;283
-188;27;286
-178;27;281
-156;25;287
-135;23;302
-109;14;328
-78;16;363
-37;24;410
-5;42;460
9;46;492
12;50;487
-9;46;428
-34;44;336
-68;49;247
-90;51;190
-103;57;183
-100;54;232
-71;53;298
-45;49;350
-30;46;357
-16;45;249
-3;38;-68
8;30;-753
15;19;-1170
15;12;-1244
4;5;-835
-2;-5;-347
10;-11;-79
32;-9;12
32;-8;118
13;5;195
-22;11;221
-43;23;207
-54;26;157
-49;17;99
-29;14;62
-12;11;61
-4;9;85
-10;7;132
-25;3;184
-37;-2;253
-30;2;291
-4;13;312
20;23;293
43;31;223
63;33;36
68;25;-295
60;25;-742
41;28;-1027
26;39;-1026
11;45;-635
11;45;-151
18;35;357
24;38;635
19;36;675
19;41;480
9;51;127
4;52;-320
10;61;-645
27;67;-725
54;72;-565
65;71;-225
68;67;76
55;59;301
40;51;508
23;53;585
11;54;588
5;55;547
-5;55;498
-3;57;430
-22;59;378
-47;59;347
-68;59;338
-85;64;349
-92;74;362
-96;77;374
-83;72;388
-73;60;405
-66;42;426
-59;35;433
-48;41;423
-35;56;398
-22;70;356
4;82;321
18;91;284
21;101;254
17;104;228
18;112;213
11;115;203
5;106;197
3;109;194
-1;101;201
-13;92;213
-36;91;231
-50;87;260
-59;86;292
-48;90;320
-32;94;342
-19;99;340
-23;100;310
-27;100;270
-15;105;246
-16;107;247
-13;99;272
-4;98;288
1;86;290
-1;87;296
-8;80;249
-18;88;125
-26;85;-279
-16;85;-912
3;87;-1269
11;76;-1200
5;70;-729
-4;66;-266
-21;67;20
-27;72;213
-27;64;368
-4;52;429
21;38;399
39;27;300
56;28;172
41;28;78
8;24;25
-25;17;40
-43;17;64
-35;22;84
-29;30;62
-24;39;6
-31;50;-105
-36;52;-250
-32;51;-439
-12;53;-601
1;49;-790
7;52;-870
16;53;-872
23;53;-643
30;58;-243
34;57;118
30;56;327
16;57;278
0;50;77
-4;51;-138
-9;46;-323
-17;44;-336
-25;42;-209
-23;39;8
-23;39;262
-17;31;404
-8;35;461
-1;33;430
2;37;344
11;46;284
27;52;273
37;56;259
44;55;237
42;55;210
45;49;188
43;40;163
48;33;123
54;32;93
50;30;61
48;23;60
58;22;60
61;17;76
54;17;97
40;9;132
28;12;170
14;13;217
16;14;252
22;14;277
33;6;273
39;4;252
48;5;208
56;12;169
52;9;132
49;14;109
44;12;93
48;12;83
51;10;77
63;11;70
63;12;61
46;18;55
29;18;50
25;16;54
39;19;65
53;21;81
70;29;100
74;35;115
71;24;123
70;16;121
68;7;116
60;1;116
47;-8;120
46;-10;129
44;-16;139
46;-11;145
51;-1;149
71;17;143
88;32;120
88;39;91
81;34;59
63;29;40
50;20;31
50;20;60
65;22;134
70;28;235
76;25;331
90;26;396
99;28;425
92;28;440
71;29;398
49;29;121
25;25;-619
27;22;-1170
36;33;-1585
45;35;-1343
58;31;-855
62;24;-500
67;14;-287
57;9;-220
52;4;-349
49;9;-706
41;6;-875
30;2;-958
13;2;-726
-4;1;-342
-29;2;0
-52;1;262
-61;9;408
-53;10;417
-45;8;364
-26;4;294
-12;6;204
3;8;143
14;9;108
25;16;112
33;20;139
40;29;149
65;33;164
79;35;160
83;37;149
67;35;132
36;40;121
6;45;119
-11;50;111
-2;47;88
6;39;23
4;28;-73
-5;20;-171
-16;20;-227
-29;15;-200
-35;13;-115
-21;10;-9
3;13;90
35;1;164
66;-11;221
92;-13;257
97;-14;287
86;-9;310
67;5;328
38;3;337
3;5;322
-13;0;293
-11;-4;242
-1;-2;199
8;6;174
16;17;180
28;31;221
49;44;247
77;58;298
98;68;276
97;74;230
89;77;94
84;71;-167
76;66;-778
69;64;-1109
61;63;-1326
56;62;-981
42;56;-517
39;42;-201
41;37;-70
42;25;-21
33;14;-104
19;0;-306
27;-4;-483
36;-5;-538
62;-6;-438
79;1;-216
86;5;-18
74;11;147
57;9;237
44;16;250
32;18;242
28;21;247
26;29;249
13;36;264
-10;36;272
-18;39;293
-17;39;278
5;45;253
28;45;181
46;51;51
49;45;-191
42;35;-576
40;23;-1015
35;17;-1347
27;7;-1426
28;1;-1190
36;-5;-785
48;-13;-346
55;-9;-63
57;-10;9
50;0;-171
38;5;-528
31;10;-909
27;17;-989
29;17;-905
27;22;-532
29;24;-151
29;35;107
23;29;349
20;34;456
25;38;480
25;45;473
27;47;440
36;53;407
41;49;399
53;37;422
63;25;459
91;17;499
99;16;531
104;20;550
95;20;557
76;14;558
52;7;551
25;-2;542
3;6;534
-27;18;526
-48;18;517
-60;29;506
-62;31;491
-57;32;467
-38;37;442
-13;41;420
-7;46;403
-6;55;394
-7;54;388
-3;56;382
-4;50;376
-6;47;365
-18;53;353
-38;54;344
-53;66;330
-47;76;322
-28;74;323
-6;77;339
11;74;352
25;78;362
25;82;344
32;77;302
48;73;214
60;67;-17
62;61;-554
56;63;-1256
46;67;-1580
38;65;-1421
42;67;-745
58;69;-52
75;79;423
87;80;596
99;81;487
96;81;27
82;68;-655
55;64;-863
32;54;-839
10;52;-422
-3;40;48
2;33;379
6;30;664
12;20;838
19;24;822
22;28;717
18;34;557
16;36;358
27;37;158
40;38;7
50;38;-25
60;37;15
74;40;50
70;39;120
62;41;299
59;39;525
61;36;704
63;27;713
63;22;610
55;14;514
37;10;446
23;2;406
24;-2;393
21;1;416
8;-7;454
-8;-13;494
-11;-12;525
-15;-12;535
-12;-4;512
-8;3;457
-2;11;404
-7;14;377
-6;8;376
-1;11;402
3;9;441
-6;9;481
-23;12;489
-33;8;420
-26;3;219
2;-3;-94
30;-11;-455
51;-15;-833
66;-17;-1173
77;-7;-1486
68;-1;-1607
43;-3;-1450
19;-6;-1067
-8;-10;-611
-25;-6;-303
-25;-1;-96
-13;3;-40
-2;-1;-35
-15;-3;-141
-27;-10;-301
-44;-3;-471
-40;-1;-642
-21;2;-802
3;4;-892
14;6;-853
10;0;-707
7;0;-524
-14;-3;-356
-49;-8;-174
-88;-6;35
-111;0;212
-119;7;272
-116;8;216
-92;7;127
-63;6;44
-31;4;-15
-6;9;-67
14;7;-94
22;15;-127
19;9;-143
12;11;-173
-5;6;-183
-21;3;-182
-30;0;-147
-17;3;-65
-2;2;40
25;-2;126
47;-6;164
49;-8;175
34;-10;188
21;-14;230
20;-7;285
20;-5;349
27;0;392
29;-6;425
31;-7;452
11;-13;465
-14;-18;471
-37;-19;464
-59;-12;436
-69;-11;383
-73;-4;309
-80;0;244
-76;6;206
-65;11;202
-34;12;220
-6;10;246
29;4;246
70;3;225
100;-3;152
101;5;-20
93;9;-440
72;25;-1017
53;33;-1296
45;35;-1243
48;42;-734
54;51;-184
49;62;293
39;66;510
15;68;523
-5;51;325
-11;45;-45
-3;37;-610
5;40;-901
3;42;-985
22;43;-690
32;39;-244
38;31;129
42;30;425
45;28;642
45;34;666
42;38;601
53;39;466
53;41;313
39;39;154
16;30;69
3;28;89
7;22;192
27;21;299
56;19;433
72;21;601
80;22;776
71;26;897
58;30;888
27;37;764
3;34;621
-7;27;445
-12;22;294
-16;20;184
-24;22;155
-27;32;168
-42;40;201
-55;48;230
-60;58;247
-50;64;262
-38;59;234
-24;64;187
-8;63;114
-5;69;17
2;65;-90
0;68;-279
-5;66;-565
-17;64;-955
-9;61;-1221
10;66;-1230
26;62;-902
36;60;-382
29;69;129
16;74;476
-2;79;624
-4;66;525
-6;60;226
1;55;-219
9;59;-607
30;64;-716
32;75;-543
14;75;-207
-4;79;153
-27;77;389
-45;70;563
-52;70;616
-56;64;569
-59;59;546
-68;50;524
-57;46;530
-42;56;517
-29;51;510
-24;47;505
-22;41;496
-23;40;489
-29;35;491
-20;34;505
-27;23;522
-33;16;536
-30;17;525
-14;22;490
13;28;458
23;30;435
28;31;440
14;37;444
-1;38;435
-17;39;409
-24;44;398
-34;47;388
-34;53;374
-29;57;327
-32;63;262
-40;53;172
-43;53;76
-30;43;-24
-12;45;-94
12;35;-123
33;34;-120
41;29;-128
37;27;-285
34;26;-709
34;30;-1173
27;32;-1344
19;34;-1094
7;40;-572
-8;35;-54
-32;32;282
-45;29;423
-59;36;362
-78;37;126
-86;36;-272
-71;33;-856
-36;25;-1170
-15;20;-1259
-2;14;-977
-5;14;-566
0;9;-200
15;5;89
41;3;266
48;9;249
39;17;125
27;30;-55
17;39;-279
17;45;-453
21;40;-595
30;41;-645
43;40;-669
50;36;-605
63;33;-395
69;33;-117
72;31;125
84;30;259
93;39;318
94;30;372
79;31;427
66;26;462
45;35;485
27;38;508
27;41;540
27;42;555
28;39;555
34;34;542
51;29;526
58;39;519
48;43;509
33;58;496
24;62;474
17;61;455
2;63;438
-1;72;428
2;81;421
8;78;416
5;79;413
-2;66;411
-14;59;410
-17;55;404
-12;57;396
-17;59;385
-24;62;373
-34;57;366
-35;57;363
-38;56;364
-28;52;368
-14;47;370
3;42;375
13;37;375
18;34;369
24;38;365
18;43;366
19;43;371
32;40;379
46;33;381
55;23;377
54;21;375
43;20;375
22;13;386
13;2;387
11;-9;359
13;-23;277
8;-35;-9
5;-43;-764
-5;-43;-1194
-21;-34;-1393
-32;-30;-913
-24;-21;-263
7;-16;180
41;-9;387
71;2;516
61;14;552
28;20;519
2;23;438
-8;32;311
-2;34;32
-5;32;-277
2;27;-576
-3;24;-654
-3;17;-504
-12;14;-319
-23;18;-174
-40;7;-144
-53;14;-136
-52;18;-143
-36;21;-151
-9;14;-180
25;11;-219
54;7;-249
60;9;-265
53;7;-264
45;11;-253
37;23;-225
22;37;-162
8;47;-125
0;44;-76
2;35;-70
16;28;-72
34;27;-151
36;23;-347
18;11;-810
4;2;-1396
19;-5;-1611
38;-9;-1460
61;-3;-902
67;6;-307
61;17;111
41;24;339
31;31;393
34;32;320
33;32;226
32;41;160
31;49;89
27;57;51
24;51;49
31;44;92
49;34;179
57;33;284
61;24;396
58;29;495
50;27;558
41;21;585
43;15;583
47;6;569
41;-6;553
34;-10;549
29;-6;558
23;-6;571
11;9;579
3;7;569
-12;13;505
-21;18;404
-22;22;180
-18;28;-181
-11;15;-585
-3;6;-912
16;8;-1006
25;11;-761
29;11;-330
24;7;237
18;4;647
10;6;801
6;13;667
20;18;345
36;10;-44
50;12;-325
55;5;-444
55;6;-492
43;-2;-386
36;-6;-271
34;-4;-83
36;-4;117
44;-11;212
48;-8;224
48;-12;187
18;-9;115
-11;-4;43
-19;11;-11
-10;19;-22
8;22;14
23;26;69
37;31;134
32;31;183
41;35;218
61;39;226
75;46;216
77;47;195
61;55;169
42;59;152
23;62;148
18;57;156
22;57;180
19;55;210
6;60;242
7;63;270
27;60;291
40;60;306
53;55;319
49;60;326
42;64;337
30;70;351
16;77;376
3;81;405
-17;93;428
-24;99;430
-20;105;411
-14;101;379
-27;94;341
-24;95;312
-25;96;267
-22;99;193
-16;90;106
-10;84;-89
-9;76;-658
-11;73;-1239
-6;73;-1501
-17;75;-1146
-32;67;-420
-43;57;161
-35;48;420
-13;36;526
6;31;494
12;31;323
9;30;-41
5;30;-291
12;31;-433
17;35;-326
8;33;-51
-9;32;258
-14;28;482
-24;30;585
-27;27;551
-13;27;481
15;32;423
31;33;389
41;36;338
42;39;278
47;43;218
52;44;133
57;46;13
59;47;-101
45;46;-181
31;43;-200
18;39;-190
16;36;-140
7;36;-74
-7;36;11
-20;30;62
-34;27;85
-21;22;80
2;33;29
19;34;-68
15;25;-269
12;28;-521
7;23;-716
6;19;-827
15;13;-859
30;4;-845
35;-1;-849
22;-7;-753
-9;-8;-659
-42;-12;-474
-80;-14;-294
-93;-17;-106
-87;-11;73
-63;1;197
-38;6;273
-11;15;310
-1;13;330
7;6;345
18;3;359
26;6;369
21;7;380
-6;9;397
-25;5;414
-44;0;430
-55;-7;436
-59;-14;437
-65;-10;436
-73;-9;448
-86;-9;469
-64;-8;496
-20;-7;517
28;-8;500
71;-10;446
92;-11;359
100;-12;279
94;-4;234
91;0;231
77;9;270
55;15;329
29;18;392
11;28;448
-13;22;476
-20;24;447
-24;20;359
-22;25;127
-22;34;-192
-24;36;-619
-20;43;-1183
-29;41;-1603
-24;47;-1625
-12;57;-1267
8;59;-644
25;64;-194
35;65;25
45;64;60
38;64;21
41;63;-92
38;65;-269
38;63;-452
26;55;-622
9;57;-664
-1;58;-585
-17;56;-409
-17;60;-223
-17;54;-70
-17;49;35
-20;37;148
-15;27;237
-12;19;312
-7;16;358
1;13;364
18;10;325
24;11;246
23;12;124
30;24;-17
25;29;-151
12;36;-234
9;40;-244
13;45;-203
18;55;-137
13;52;-109
8;58;-123
-9;58;-193
-28;60;-338
-41;61;-646
-43;62;-972
-45;55;-1018
-65;49;-790
-87;41;-233
-113;36;232
-125;35;545
-125;36;672
-101;34;627
-79;34;428
-54;37;161
-23;39;-76
-8;33;-154
-6;26;-153
-6;20;-151
-4;30;-135
-5;37;-57
-8;41;88
-10;41;269
-6;40;332
-2;33;348
-2;36;326
-2;41;291
-3;41;237
9;45;190
26;50;174
32;48;177
21;46;209
5;46;258
-1;41;307
5;46;348
9;47;375
8;50;408
-9;52;417
-35;41;403
-48;30;333
-38;21;244
-25;7;113
-10;6;-95
-5;3;-431
-2;6;-865
-2;14;-1149
0;24;-1178
-3;26;-882
-18;34;-455
-36;33;42
-41;32;394
-39;36;580
-30;31;562
-17;35;442
-14;38;316
-19;39;206
-30;43;103
-33;54;110
-31;50;243
-28;44;422
-18;36;540
-20;34;658
-16;31;802
-3;30;910
19;30;930
33;28;791
24;32;649
16;34;560
3;35;530
-14;40;525
-31;40;554
-43;49;597
-55;50;649
-62;61;674
-54;70;676
-47;76;620
-40;75;522
-44;61;380
-48;61;175
-64;51;-116
-73;47;-558
-68;49;-1080
-32;45;-1350
15;44;-1308
64;41;-907
86;37;-439
71;36;-16
44;30;229
23;28;292
5;32;188
-15;27;39
-27;26;-70
-25;31;-127
-24;19;-118
-16;26;-51
-7;25;48
-1;33;150
1;24;241
9;32;310
26;29;356
31;27;390
32;27;405
36;30;438
36;39;450
33;50;468
32;64;464
41;62;463
38;62;474
38;49;462
33;51;449
23;56;419
21;58;385
22;54;326
18;47;221
13;25;-64
18;20;-565
37;12;-985
41;5;-1176
36;4;-942
26;6;-460
3;5;95
-18;2;548
-40;-3;771
-44;-3;753
-43;-1;478
-47;-10;15
-53;-21;-497
-65;-29;-711
-77;-31;-695
-73;-37;-404
-57;-42;-108
-31;-46;134
-13;-41;310
1;-31;373
-17;-25;323
-43;-19;216
-61;-14;127
-43;-11;34
-13;-4;-50
9;6;-102
15;20;-107
-4;27;-79
-31;31;-40
-44;24;-14
-33;22;8
-23;19;39
-15;20;88
-16;28;148
-19;32;212
-26;35;273
-23;30;322
-15;40;365
-17;40;402
-15;44;433
3;46;464
25;42;485
39;36;490
34;36;463
13;41;420
-6;34;355
-14;31;293
-9;25;230
2;23;188
6;22;159
16;22;147
20;25;144
19;21;150
12;20;182
-5;15;210
-32;15;225
-54;12;215
-46;11;195
-32;7;173
-14;4;101
-7;2;-110
-11;1;-680
-28;1;-1330
-57;-3;-1616
-63;-10;-1377
-75;-18;-682
-79;-30;-86
-71;-28;269
-62;-21;366
-52;-4;337
-57;5;181
-55;14;-39
-73;18;-273
-90;16;-478
-103;24;-516
-88;29;-399
-57;36;-212
-28;39;-49
-6;41;67
-11;35;137
-27;34;178
-45;35;201
-48;42;204
-51;33;206
-44;31;194
-30;23;181
-15;27;163
-1;29;158
13;32;168
15;35;194
-5;41;239
-20;43;270
-24;47;294
-19;45;284
-21;47;263
-38;47;248
-59;56;245
-90;50;256
-108;41;271
-105;34;240
-81;26;204
-54;29;167
-37;38;124
-29;49;118
-39;54;56
-29;59;-169
-8;61;-828
13;58;-1201
14;58;-1428
9;49;-1120
11;46;-598
17;30;-206
39;21;116
54;19;331
54;21;360
34;31;250
29;39;6
31;43;-348
33;36;-573
36;33;-701
35;21;-674
22;19;-527
9;9;-299
15;11;-13
20;12;271
18;13;420
3;18;491
-16;13;482
-34;25;440
-50;24;348
-30;28;252
-6;30;185
16;22;193
43;25;259
77;25;380
102;22;504
114;16;588
108;13;627
82;9;691
53;11;767
37;5;818
34;5;792
31;5;689
21;1;581
7;3;486
-13;-1;393
-36;-5;295
-38;-14;198
-23;-10;119
-4;-9;70
26;-10;68
51;0;79
79;6;120
102;6;145
120;18;181
130;17;180
117;8;149
91;14;69
55;11;-46
21;16;-212
-8;15;-430
-26;17;-739
-25;22;-1169
-19;23;-1527
8;21;-1600
44;22;-1238
73;19;-619
82;9;36
75;-5;461
65;-10;634
52;-17;629
43;-17;452
36;-22;231
31;-21;14
16;-20;-140
6;-16;-190
2;-11;-168
1;-15;-86
9;-16;2
23;-14;84
42;-2;155
49;4;201
57;15;240
50;26;251
40;25;260
42;34;247
55;45;231
64;58;223
48;63;232
29;65;252
9;62;280
1;64;319
14;74;366
33;81;410
41;86;434
38;75;409
44;68;358
44;65;292
53;66;211
60;68;135
79;73;17
84;70;-263
81;62;-811
69;57;-1071
47;47;-1230
20;39;-889
4;35;-498
7;33;-168
4;39;84
14;38;256
31;39;280
40;31;141
32;19;-270
14;11;-737
4;15;-995
8;20;-962
25;29;-649
40;29;-260
46;24;51
43;11;306
32;11;429
28;8;433
14;14;411
3;13;377
0;17;336
2;19;297
0;21;287
10;22;305
23;14;334
33;19;382
43;15;425
50;25;457
57;20;470
54;15;466
50;14;468
32;19;474
5;20;482
-8;19;490
-10;20;480
3;20;445
14;21;377
31;26;290
33;39;195
30;44;107
29;56;41
36;52;11
33;43;40
17;43;96
4;43;162
-6;47;212
-5;40;229
-1;33;218
-8;23;148
-33;16;23
-62;7;-219
-76;5;-657
-85;-1;-1264
-93;-8;-1448
-103;-10;-1298
-95;-9;-655
-76;-4;-20
-46;-6;370
-9;-2;496
22;-5;387
45;-8;104
60;-12;-147
54;-9;-380
32;-6;-457
7;-1;-499
-2;-4;-420
-1;-17;-221
-12;-34;-22
-18;-37;140
-9;-29;201
3;-17;218
20;-12;228
36;-8;230
40;-10;232
36;-13;231
30;-11;235
24;10;251
5;19;266
-14;31;280
-22;36;281
-20;37;276
-9;30;267
9;20;259
27;11;261
29;8;263
31;8;266
33;17;266
42;19;259
46;29;246
56;31;230
59;31;221
42;19;229
29;18;267
16;23;325
14;33;386
6;29;416
-1;27;401
-14;21;354
-26;20;312
-23;30;290
-18;39;307
-10;47;373
-10;47;447
-3;46;452
-5;42;379
-18;35;133
-33;32;-242
-41;30;-825
-37;30;-1356
-25;25;-1427
-6;25;-1141
-1;27;-570
-3;23;-124
-11;28;108
-20;26;256
-31;35;346
-40;37;364
-24;35;335
-1;30;261
31;24;180
50;16;101
67;9;61
74;4;25
74;5;18
70;6;28
57;12;58
47;17;99
41;23;134
42;38;160
21;49;175
-4;59;175
-31;67;171
-47;73;165
-41;67;158
-20;61;139
8;55;95
35;52;10
69;47;-91
103;45;-191
123;51;-243
114;58;-203
83;70;-112
55;81;1
23;89;95
